Cidade;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais
Rio de Janeiro;16055174;875769;1015741;964636;1011978;1149011;1160926;1162332;1214564;1293041;1108422;1062750;1010375;922438;755817;559632;353656;229376;128213;57985;15800;2712;7577675;443094;517446;494467;513939;570077;560559;554702;573236;612313;519365;494486;461606;412587;327730;235212;140230;84593;41692;16196;3658;487;8477499;432675;498295;470169;498039;578934;600367;607630;641328;680728;589057;568264;548769;509851;428087;324420;213426;144783;86521;41789;12142;2225
Angra dos Reis (RJ);167434;10806;11912;11142;11667;12282;12377;12219;13409;14190;11556;10482;9951;8835;6855;4589;2613;1484;724;257;71;13;81672;5477;6004;5725;5927;6056;5913;5820;6462;6820;5690;5001;4763;4212;3374;2169;1197;699;265;78;17;3;85762;5329;5908;5417;5740;6226;6464;6399;6947;7370;5866;5481;5188;4623;3481;2420;1416;785;459;179;54;10
Aperibé (RJ);11034;613;672;599;692;729;698;779;815;865;763;768;807;654;583;391;270;207;90;28;9;2;5348;302;336;306;337;359;342;399;400;410;348;367;386;313;272;215;120;89;37;8;2;-;5686;311;336;293;355;370;356;380;415;455;415;401;421;341;311;176;150;118;53;20;7;2
Araruama (RJ);129671;7335;8515;8172;8611;8514;8034;8191;8913;9961;8842;8871;8418;8242;6796;5197;3292;2013;1121;471;137;25;61702;3694;4383;4190;4460;4232;3831;3825;4113;4579;4149;4109;3916;3835;3128;2396;1470;815;416;130;29;2;67969;3641;4132;3982;4151;4282;4203;4366;4800;5382;4693;4762;4502;4407;3668;2801;1822;1198;705;341;108;23
Areal (RJ);11828;750;777;730;763;873;867;877;804;860;767;794;755;697;538;402;276;156;88;40;10;4;5791;391;403;384;401;433;432;441;395;412;377;379;331;338;257;172;131;68;30;13;3;-;6037;359;374;346;362;440;435;436;409;448;390;415;424;359;281;230;145;88;58;27;7;4
Armação dos Búzios (RJ);40006;2331;2755;2670;2620;2763;2990;3055;3183;3762;2879;2767;2434;2095;1566;1004;545;320;182;68;12;5;19776;1209;1387;1391;1352;1351;1472;1502;1525;1862;1425;1379;1181;989;756;517;247;141;68;21;1;-;20230;1122;1368;1279;1268;1412;1518;1553;1658;1900;1454;1388;1253;1106;810;487;298;179;114;47;11;5
Arraial do Cabo (RJ);30986;1664;1878;1977;2008;2152;2092;2112;2123;2384;2013;2095;2215;2078;1659;1103;684;424;203;104;18;-;14878;828;925;1025;990;1108;1012;1047;1012;1127;945;995;1008;985;775;490;307;175;80;41;3;-;16108;836;953;952;1018;1044;1080;1065;1111;1257;1068;1100;1207;1093;884;613;377;249;123;63;15;-
Barra do Piraí (RJ);92883;5219;5862;5603;6066;6462;6099;6049;6616;7142;6112;6131;6350;5970;4866;3463;2225;1391;793;339;115;10;43559;2615;2893;2851;3036;3142;3024;2821;3105;3363;2851;2840;2873;2723;2144;1507;863;534;257;88;25;4;49324;2604;2969;2752;3030;3320;3075;3228;3511;3779;3261;3291;3477;3247;2722;1956;1362;857;536;251;90;6
Barra Mansa (RJ);169894;9054;10142;10103;10533;11946;11566;11629;12522;13182;11858;11625;11806;10801;8695;6119;3925;2427;1284;526;132;19;80569;4600;5123;5232;5296;6005;5652;5551;5852;6227;5572;5397;5383;4871;3899;2637;1653;965;458;162;30;4;89325;4454;5019;4871;5237;5941;5914;6078;6670;6955;6286;6228;6423;5930;4796;3482;2272;1462;826;364;102;15
Belford Roxo (RJ);483087;30103;35404;31940;33084;37645;36664;35829;36588;39863;35169;32893;28003;23652;18596;12877;7336;4361;2046;801;210;23;231344;15326;17963;16248;16894;18459;17220;16845;17076;19172;16960;15746;13132;10846;8246;5634;3009;1639;638;235;52;4;251743;14777;17441;15692;16190;19186;19444;18984;19512;20691;18209;17147;14871;12806;10350;7243;4327;2722;1408;566;158;19
