Cidade,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Rio de Janeiro,16055174,875769,1015741,964636,1011978,1149011,1160926,1162332,1214564,1293041,1108422,1062750,1010375,922438,755817,559632,353656,229376,128213,57985,15800,2712
Angra dos Reis (RJ),167434,10806,11912,11142,11667,12282,12377,12219,13409,14190,11556,10482,9951,8835,6855,4589,2613,1484,724,257,71,13
Aperibé (RJ),11034,613,672,599,692,729,698,779,815,865,763,768,807,654,583,391,270,207,90,28,9,2
Araruama (RJ),129671,7335,8515,8172,8611,8514,8034,8191,8913,9961,8842,8871,8418,8242,6796,5197,3292,2013,1121,471,137,25
Areal (RJ),11828,750,777,730,763,873,867,877,804,860,767,794,755,697,538,402,276,156,88,40,10,4
Armação dos Búzios (RJ),40006,2331,2755,2670,2620,2763,2990,3055,3183,3762,2879,2767,2434,2095,1566,1004,545,320,182,68,12,5
Arraial do Cabo (RJ),30986,1664,1878,1977,2008,2152,2092,2112,2123,2384,2013,2095,2215,2078,1659,1103,684,424,203,104,18,-
Barra do Piraí (RJ),92883,5219,5862,5603,6066,6462,6099,6049,6616,7142,6112,6131,6350,5970,4866,3463,2225,1391,793,339,115,10
Barra Mansa (RJ),169894,9054,10142,10103,10533,11946,11566,11629,12522,13182,11858,11625,11806,10801,8695,6119,3925,2427,1284,526,132,19
Belford Roxo (RJ),483087,30103,35404,31940,33084,37645,36664,35829,36588,39863,35169,32893,28003,23652,18596,12877,7336,4361,2046,801,210,23
Bom Jardim (RJ),28102,1632,1729,1728,1809,2003,1921,2063,2027,2257,2020,1885,1841,1517,1350,1007,602,408,195,82,25,1
Bom Jesus do Itabapoana (RJ),35173,2106,2197,2054,2187,2428,2405,2406,2402,2527,2297,2361,2411,2192,1799,1284,904,625,346,176,50,16
Cabo Frio (RJ),222161,13306,14933,14691,14846,15466,15422,15065,16259,17281,15285,14676,14294,13083,10715,7548,4467,2686,1376,600,140,22
Cachoeiras de Macacu (RJ),56943,3359,3642,3508,3666,3963,4042,3967,3976,4420,4053,3913,3753,3435,2661,2017,1209,755,381,167,44,12
Cambuci (RJ),14616,727,769,801,901,957,847,910,1021,1103,1007,1083,1077,975,819,646,440,281,133,87,29,3
Carapebus (RJ),13847,781,1013,995,988,872,941,941,1033,1042,1024,945,861,787,563,468,275,172,92,39,11,4
Comendador Levy Gasparian (RJ),8741,529,580,569,596,597,625,587,583,636,577,613,608,508,395,309,204,139,53,26,7,-
Campos dos Goytacazes (RJ),483540,30196,33762,31149,33327,36775,35918,35982,36427,37270,31253,29802,29113,26425,20127,15215,9386,6334,3167,1469,374,69
Cantagalo (RJ),19390,1098,1226,1238,1269,1313,1154,1317,1312,1513,1280,1370,1300,1145,908,761,545,351,168,93,26,3
Cardoso Moreira (RJ),12958,738,782,865,841,840,777,845,901,997,889,887,814,730,673,530,378,261,139,52,18,1
Carmo (RJ),17198,928,992,1076,1116,1184,1063,1090,1250,1373,1181,1193,1161,1060,944,636,435,269,145,77,24,1
Casimiro de Abreu (RJ),46110,2903,3378,3244,3155,3119,3070,3172,3544,3735,3188,3076,2827,2457,2024,1407,866,540,246,122,29,8
Conceição de Macabu (RJ),21104,1334,1469,1322,1466,1378,1483,1437,1461,1612,1374,1406,1475,1205,953,680,477,299,163,83,25,2
Cordeiro (RJ),20783,1186,1333,1201,1316,1399,1374,1415,1561,1590,1380,1404,1400,1210,1025,815,519,360,187,81,24,3
Duas Barras (RJ),10980,629,695,720,751,757,715,742,825,836,772,703,766,628,515,398,257,133,87,35,14,2
Duque de Caxias (RJ),808161,49627,57901,53339,56238,62105,60581,58821,59495,64101,54930,53629,48903,42526,34015,23458,13711,8368,4195,1710,429,79
Engenheiro Paulo de Frontin (RJ),12242,642,673,643,720,820,796,834,835,918,861,883,876,821,714,477,329,207,128,55,7,3
Guapimirim (RJ),51696,3193,3673,3483,3657,3883,3807,3763,3946,4084,3482,3377,2932,2722,2187,1565,940,562,267,124,39,10
Iguaba Grande (RJ),27920,1450,1694,1678,1757,1793,1656,1618,1870,2098,1889,1861,1936,1861,1735,1305,818,486,274,111,25,5
Itaboraí (RJ),224267,13269,15318,14127,14651,15788,15991,16066,16855,18729,16668,15405,14124,12358,9737,6954,4063,2367,1136,478,156,27
Itaguaí (RJ),116841,7625,8713,8168,8270,8911,8644,8350,8908,9564,7670,7427,6556,5932,4711,3432,1928,1174,573,226,54,5
Italva (RJ),14073,707,821,767,780,814,798,981,1073,1019,917,965,1057,940,841,623,435,303,142,67,17,6
Itaocara (RJ),22919,1159,1309,1162,1350,1396,1395,1441,1580,1791,1567,1683,1660,1524,1279,1031,751,442,275,92,30,2
Itaperuna (RJ),101041,5455,5842,5788,6058,7003,6990,7146,7432,8339,7121,6926,6899,5942,4889,3628,2504,1575,939,426,117,22
Itatiaia (RJ),30908,1841,2049,1912,1987,2294,2216,2155,2259,2560,2194,2130,2031,1762,1298,973,586,391,181,60,21,8
Japeri (RJ),96289,6024,7097,6650,7313,8517,7899,7531,7725,8289,6673,5970,4942,4004,3029,2136,1256,699,364,123,41,7
Laje do Muriaé (RJ),7336,425,427,415,487,554,538,425,469,515,510,503,535,473,382,264,195,109,68,35,6,1
Macaé (RJ),246391,16251,18653,17051,16527,17517,18871,20228,22726,22086,16674,14182,13127,11414,8300,5506,3393,2096,1149,482,133,25
Macuco (RJ),5415,280,361,389,419,416,310,333,373,453,395,378,311,272,229,218,143,68,41,20,3,3
Magé (RJ),228127,14589,16112,15571,16486,17082,16911,16169,16384,17313,15512,15234,13852,11895,9556,6893,4191,2533,1219,490,115,20
Mangaratiba (RJ),41220,2209,2563,2532,2633,2716,2647,2888,2910,3194,2954,2951,2890,2638,2160,1518,844,579,263,93,37,1
Maricá (RJ),197277,10412,12666,12235,12522,12808,12510,12772,14668,16520,14710,14168,13371,12296,10154,6921,4082,2403,1318,565,153,23
Mendes (RJ),17502,921,994,967,967,1107,1103,1122,1131,1291,1256,1243,1365,1298,1002,716,431,296,176,87,23,6
Mesquita (RJ),167127,9510,11062,10472,11028,12755,12552,11858,12082,13402,11639,11210,10406,9375,7537,5350,3285,2062,1008,391,124,19
Miguel Pereira (RJ),26582,1315,1474,1456,1538,1695,1649,1657,1719,1955,1783,1854,1932,1866,1527,1255,871,520,321,137,50,8
Miracema (RJ),26881,1671,1586,1747,1810,1922,1843,1874,1748,2035,1752,1784,1784,1548,1283,939,655,472,283,109,30,6
Natividade (RJ),15074,822,928,872,944,1058,1005,937,1036,1139,935,1036,1048,895,843,608,400,261,190,83,25,9
Nilópolis (RJ),146774,7511,9071,7895,8983,9927,10046,10580,11225,11743,10359,10176,9716,9257,7441,5565,3369,2170,1126,480,121,13
Niterói (RJ),481749,21643,25012,23616,25087,31177,32996,34033,35964,39576,33282,31826,32716,31793,27087,21056,14783,10057,6098,2954,831,162
Nova Friburgo (RJ),189939,9321,10485,10758,11293,12684,12643,13160,14082,15171,13404,13347,13164,12130,9772,7589,4943,3234,1740,799,189,31
Nova Iguaçu (RJ),785867,47372,54146,51377,54253,61418,59815,56739,57120,61794,53411,53130,47973,42007,32611,23239,14149,8567,4421,1801,456,68
Paracambi (RJ),41375,2152,2419,2362,2454,2925,2975,3037,3140,3257,2856,3025,3016,2494,1947,1395,880,585,314,109,25,8
Paraíba do Sul (RJ),42063,2429,2769,2800,2704,3032,2860,2737,2914,3146,2725,2896,2760,2590,2034,1483,935,655,355,198,33,8
Paraty (RJ),45243,2984,3116,3019,3224,3225,3223,3338,3845,4013,3377,2919,2654,2240,1678,1121,616,347,200,83,18,3
Paty do Alferes (RJ),29619,1861,2011,1868,1948,2140,2066,2105,2100,2201,1884,1966,1958,1756,1367,946,676,409,225,105,20,7
Petrópolis (RJ),278881,14400,16083,15553,16577,19103,18797,19148,19850,21835,19654,19783,18669,16658,14247,11496,7621,4960,2831,1243,319,54
Pinheiral (RJ),24298,1431,1625,1565,1590,1662,1737,1601,1857,2030,1585,1524,1610,1496,1214,792,494,248,152,64,17,4
Piraí (RJ),27474,1645,1787,1721,1697,1921,1940,1900,1941,2194,1834,1874,1802,1652,1286,1022,580,377,194,80,21,6
Porciúncula (RJ),17288,1077,1083,1124,1171,1231,1157,1176,1242,1308,1067,1123,1151,1010,801,613,419,264,151,86,26,8
Porto Real (RJ),20373,1296,1429,1464,1383,1568,1497,1541,1651,1675,1425,1338,1167,1062,746,496,298,199,92,36,9,1
Quatis (RJ),13682,793,888,939,896,1002,946,949,1044,1072,961,888,869,743,616,458,312,141,97,57,10,1
Queimados (RJ),140523,9061,10253,9618,10231,11005,10625,10304,10431,11325,9855,9235,7982,7044,5345,3773,2151,1324,612,268,67,14
Quissamã (RJ),22393,1391,1697,1538,1562,1566,1585,1556,1608,1691,1386,1468,1446,1226,984,733,421,289,164,53,23,6
Resende (RJ),129612,7195,8078,8129,8247,9261,9550,9742,10706,10876,9204,8553,7915,7021,5609,4057,2527,1590,879,345,109,19
Rio Bonito (RJ),56276,3226,3429,3370,3664,3967,3906,3772,4164,4646,4127,3903,3543,3199,2647,2010,1234,760,437,204,59,9
Rio Claro (RJ),17401,921,1046,1119,1171,1255,1128,1071,1225,1473,1252,1231,1089,1026,865,632,400,276,147,53,16,5
Rio das Flores (RJ),8954,515,612,590,626,665,670,620,558,675,635,568,596,498,352,290,224,152,61,35,10,2
Rio das Ostras (RJ),156491,9397,11319,10881,10544,10765,10781,11424,13742,14010,11532,9808,8859,7842,6334,4294,2438,1437,716,278,70,20
Rio de Janeiro (RJ),6211223,310648,367196,354457,371931,439660,454428,460448,479813,504195,426864,402001,386411,360818,304598,233160,151529,102752,61497,29295,8132,1390
Santa Maria Madalena (RJ),10232,537,613,616,659,620,614,607,694,730,743,730,705,650,608,438,286,213,107,41,18,3
Santo Antônio de Pádua (RJ),41325,2462,2394,2337,2502,2818,2708,2810,3024,3211,2814,2906,2818,2472,2073,1569,1133,695,357,167,45,10
São Francisco de Itabapoana (RJ),45059,2976,3132,3047,3113,3166,3069,3050,3203,3369,3057,2875,2895,2579,1997,1584,919,536,311,110,45,26
São Fidélis (RJ),38961,2173,2454,2358,2339,2623,2423,2613,2834,3124,2590,2675,2491,2455,1934,1531,1070,685,373,162,48,6
São Gonçalo (RJ),896744,46231,54374,49123,52492,61873,64382,65221,68548,74099,65527,63813,59898,54136,43571,31876,19756,12417,6138,2499,673,97
São João da Barra (RJ),36573,2074,2397,2270,2176,2324,2433,2563,2691,2900,2803,2563,2435,2282,1715,1208,814,533,256,116,16,4
São João de Meriti (RJ),440962,24463,31704,26998,29036,32533,33945,32453,32921,34021,29969,29563,27588,25164,20410,13732,7711,4880,2485,1074,270,42
São José de Ubá (RJ),7070,399,403,403,410,458,458,445,478,599,482,522,511,438,332,274,212,139,71,25,10,1
São José do Vale do Rio Preto (RJ),22080,1493,1455,1315,1498,1693,1756,1661,1528,1673,1482,1555,1428,1127,925,699,372,259,109,44,7,1
São Pedro da Aldeia (RJ),104029,6563,7063,6723,6907,7186,7226,7164,7932,8924,7384,7203,6431,5594,4508,3228,1980,1166,569,213,53,12
São Sebastião do Alto (RJ),7750,455,473,476,447,432,492,485,498,593,527,571,591,515,422,290,207,148,88,31,7,2
Sapucaia (RJ),17729,968,1042,1128,1148,1248,1131,1210,1241,1314,1167,1268,1243,1132,936,657,415,261,140,64,14,2
Saquarema (RJ),89559,4950,5785,5387,5561,5717,5706,5827,6197,6624,5956,6034,6120,6165,5137,3767,2279,1339,666,254,78,10
Seropédica (RJ),80596,5126,5810,5397,5620,6445,6277,5837,5668,6062,5350,5321,4785,4295,3359,2367,1385,836,400,198,50,8
Silva Jardim (RJ),21352,1358,1511,1452,1505,1611,1494,1385,1545,1665,1386,1412,1261,1217,939,679,416,272,151,70,19,4
Sumidouro (RJ),15206,970,969,948,958,1069,1160,1117,1175,1292,997,1081,1004,826,651,444,269,142,99,23,10,2
Tanguá (RJ),31086,1926,2231,1995,2027,2342,2206,2123,2205,2610,2273,2183,1860,1636,1319,947,581,354,183,68,14,3
Teresópolis (RJ),165123,9087,10171,9931,10740,12011,11759,11536,11988,12784,11405,10947,10678,9623,7996,5871,3940,2491,1332,608,204,21
Trajano de Moraes (RJ),10302,561,586,652,683,655,635,654,711,781,707,735,787,640,533,376,275,183,101,39,4,4
